Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
0,0,-7.35E-15,8.85e-14
0.01,0,0.00104957,0.000134176
0.02,0,0.00210624,0.000536938
0.035,0,0.00370455,0.00164546
0.0575,0,0.00613203,0.00444545
0.09125,0,0.009841,0.0112122
0.14125,0,0.0154858,0.0269256
0.19125,0,0.0213106,0.0494718
0.24125,0,0.0273162,0.0788968
0.29125,0,0.0335039,0.115248
0.34125,0,0.0398747,0.158571
0.39125,0,0.0464297,0.208916
0.44125,0,0.05317,0.266331
0.49125,0,0.0600966,0.330864
0.54125,0,0.0672107,0.402567
0.59125,0,0.0745133,0.481489
0.64125,0,0.0820056,0.567682
0.69125,0,0.0896888,0.661199
0.74125,0,0.0975639,0.762091
0.79125,0,0.105632,0.870413
0.84125,0,0.113895,0.986218
0.89125,0,0.122353,1.10956
0.94125,0,0.131007,1.2405
0.99125,0,0.13986,1.37909
1,0,0.141426,1.40413
1,0,0.141426,1.40413
1.01,0,0.143227,1.43304
1.02,0,0.145037,1.46226
1.035,0,0.147766,1.50667
1.0575,0,0.151893,1.5746
1.09125,0,0.158161,1.67945
1.14125,0,0.167616,1.84133
1.19125,0,0.177272,2.0111
1.24125,0,0.187132,2.18882
1.29125,0,0.197198,2.37454
1.34125,0,0.207469,2.56833
1.39125,0,0.217949,2.77025
1.44125,0,0.228638,2.98036
1.49125,0,0.239537,3.19874
1.54125,0,0.250648,3.42543
1.59125,0,0.261973,3.66052
1.64125,0,0.273511,3.90407
1.69125,0,0.285266,4.15614
1.74125,0,0.297238,4.41681
1.79125,0,0.309429,4.68615
1.84125,0,0.321839,4.96422
1.89125,0,0.334472,5.25111
1.94125,0,0.347327,5.54688
1.99125,0,0.360406,5.8516
2,0,0.362711,5.90585
2,0,0.362711,5.90585
2.01,0,0.365361,5.96819
2.02,0,0.368022,6.0309
2.035,0,0.372029,6.12564
2.0575,0,0.378079,6.26929
2.09125,0,0.38724,6.48823
2.14125,0,0.401006,6.82029
2.19125,0,0.414999,7.16161
2.24125,0,0.429223,7.51228
2.29125,0,0.443681,7.87238
2.34125,0,0.458374,8.24199
2.39125,0,0.473304,8.62119
2.44125,0,0.488472,9.01006
2.49125,0,0.503881,9.40871
2.54125,0,0.51953,9.8172
2.59125,0,0.535424,10.2356
2.64125,0,0.551562,10.6641
2.69125,0,0.567947,11.1027
2.74125,0,0.58458,11.5515
2.79125,0,0.601463,12.0106
2.84125,0,0.618599,12.4801
2.89125,0,0.635988,12.9601
2.94125,0,0.653633,13.4508
2.99125,0,0.671536,13.9521
3,0,0.674682,14.0409
3,0,0.674682,14.0409
3.01,0,0.678299,14.1428
3.02,0,0.681935,14.2452
3.035,0,0.687399,14.3996
3.0575,0,0.695645,14.633
3.09125,0,0.708112,14.9873
3.14125,0,0.726804,15.5213
3.19125,0,0.745757,16.0665
3.24125,0,0.764975,16.6229
3.29125,0,0.784462,17.1906
3.34125,0,0.80422,17.7698
3.39125,0,0.824251,18.3606
3.44125,0,0.844557,18.963
3.49125,0,0.86514,19.5772
3.54125,0,0.886002,20.2034
3.59125,0,0.907146,20.8416
3.64125,0,0.928574,21.492
3.69125,0,0.950287,22.1546
3.74125,0,0.972288,22.8297
3.79125,0,0.99458,23.5174
3.84125,0,1.01716,24.2177
0,-2.5,0.150539,0.189713
0.01,-2.5,0.151668,0.189835
0.02,-2.5,0.152804,0.190208
0.035,-2.5,0.154521,0.19124
0.0575,-2.5,0.157125,0.193851
0.09125,-2.5,0.161096,0.200169
0.14125,-2.5,0.167125,0.214847
0.19125,-2.5,0.173326,0.235913
0.24125,-2.5,0.179702,0.263407
0.29125,-2.5,0.186253,0.297371
0.34125,-2.5,0.192981,0.337846
0.39125,-2.5,0.199886,0.384876
0.44125,-2.5,0.206969,0.438504
0.49125,-2.5,0.214232,0.498774
0.54125,-2.5,0.221676,0.56573
0.59125,-2.5,0.229301,0.639417
0.64125,-2.5,0.237109,0.719881
0.69125,-2.5,0.2451,0.807167
0.74125,-2.5,0.253276,0.901324
0.79125,-2.5,0.261638,1.0024
0.84125,-2.5,0.270187,1.11044
0.89125,-2.5,0.278924,1.22549
0.94125,-2.5,0.28785,1.34761
0.99125,-2.5,0.296966,1.47685
1,-2.5,0.298576,1.5002
1,-2.5,0.298576,1.5002
1.01,-2.5,0.300429,1.52715
1.02,-2.5,0.302289,1.5544
1.035,-2.5,0.305094,1.5958
1.0575,-2.5,0.309335,1.65912
1.09125,-2.5,0.31577,1.75686
1.14125,-2.5,0.325466,1.90774
1.19125,-2.5,0.335355,2.06595
