Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
0,0,4.38e-14,9.06e-14
0.01,0,0.00130524,0.000165403
0.02,0,0.0026161,0.00066178
0.035,0,0.00459296,0.00202748
0.0575,0,0.00758212,0.0054753
0.09125,0,0.0121198,0.0138013
0.14125,0,0.0189625,0.0331131
0.19125,0,0.0259496,0.0607858
0.24125,0,0.0330828,0.096854
0.29125,0,0.0403637,0.141353
0.34125,0,0.0477938,0.19432
0.39125,0,0.0553747,0.255792
0.44125,0,0.063108,0.325807
0.49125,0,0.0709953,0.404405
0.54125,0,0.0790381,0.491625
0.59125,0,0.0872381,0.587509
0.64125,0,0.0955968,0.6921
0.69125,0,0.104116,0.805439
0.74125,0,0.112797,0.927572
0.79125,0,0.121642,1.05854
0.84125,0,0.130652,1.1984
0.89125,0,0.139829,1.34719
0.94125,0,0.149174,1.50495
0.99125,0,0.15869,1.67175
1,0,0.16037,1.70187
1,0,0.16037,1.70187
1.01,0,0.162299,1.73663
1.02,0,0.164237,1.77176
1.035,0,0.167154,1.82514
1.0575,0,0.171561,1.90674
1.09125,0,0.178237,2.03262
1.14125,0,0.188275,2.22681
1.19125,0,0.198488,2.43023
1.24125,0,0.208881,2.64294
1.29125,0,0.219453,2.865
1.34125,0,0.230208,3.09645
1.39125,0,0.241147,3.33737
1.44125,0,0.252272,3.5878
1.49125,0,0.263584,3.84781
1.54125,0,0.275085,4.11746
1.59125,0,0.286778,4.39681
1.64125,0,0.298663,4.68592
1.69125,0,0.310744,4.98486
1.74125,0,0.32302,5.2937
1.79125,0,0.335496,5.6125
1.84125,0,0.348172,5.94132
1.89125,0,0.36105,6.28024
1.94125,0,0.374132,6.62934
1.99125,0,0.38742,6.98867
2,0,0.389761,7.0526
2,0,0.389761,7.0526
2.01,0,0.392453,7.12607
2.02,0,0.39515,7.19994
2.035,0,0.399213,7.31154
2.0575,0,0.405344,7.48068
2.09125,0,0.41462,7.73835
2.14125,0,0.428541,8.12886
