Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
0,0,-4.01E-14,6.02e-14
0.01,0,0.00113337,0.000209521
0.02,0,0.00227714,0.000838609
0.035,0,0.00401234,0.00257065
0.0575,0,0.00665925,0.00694796
0.09125,0,0.0107294,0.0175353
0.14125,0,0.0169809,0.0421509
0.19125,0,0.0234989,0.0775222
0.24125,0,0.0302859,0.123755
0.29125,0,0.0373447,0.180958
0.34125,0,0.0446781,0.249242
0.39125,0,0.0522886,0.32872
0.44125,0,0.0601792,0.419508
0.49125,0,0.0683525,0.521725
0.54125,0,0.0768115,0.635492
0.59125,0,0.085559,0.760934
0.64125,0,0.0945978,0.898176
0.69125,0,0.103931,1.04735
0.74125,0,0.113562,1.20859
0.79125,0,0.123493,1.38203
0.84125,0,0.133727,1.5678
0.89125,0,0.144268,1.76606
0.94125,0,0.15512,1.97694
0.99125,0,0.166284,2.2006
1,0,0.168262,2.24106
1,0,0.168262,2.24106
1.01,0,0.170543,2.28779
1.02,0,0.172837,2.33504
1.035,0,0.176303,2.4069
1.0575,0,0.181556,2.51688
1.09125,0,0.189558,2.68685
1.14125,0,0.201686,2.94977
1.19125,0,0.214137,3.22609
1.24125,0,0.226917,3.51598
1.29125,0,0.240031,3.81962
1.34125,0,0.253482,4.13718
1.39125,0,0.267273,4.46884
1.44125,0,0.28141,4.81478
1.49125,0,0.295895,5.17519
1.54125,0,0.310732,5.55027
1.59125,0,0.325926,5.94022
1.64125,0,0.34148,6.34523
1.69125,0,0.357398,6.76552
1.74125,0,0.373686,7.2013
1.79125,0,0.390346,7.65279
1.84125,0,0.407383,8.12021
1.89125,0,0.424803,8.6038
0,-2.5,0.051179,0.0646581
0.01,-2.5,0.052383,0.0648534
0.02,-2.5,0.053597,0.065443
0.035,-2.5,0.0554367,0.0670681
0.0575,-2.5,0.0582387,0.0711772
0.09125,-2.5,0.0625376,0.0811173
0.14125,-2.5,0.0691194,0.104226
0.19125,-2.5,0.0759564,0.137426
0.24125,-2.5,0.0830511,0.180808
0.29125,-2.5,0.0904065,0.234469
0.34125,-2.5,0.0980251,0.298506
0.39125,-2.5,0.105909,0.373019
0.44125,-2.5,0.114062,0.458109
0.49125,-2.5,0.122486,0.553881
0.54125,-2.5,0.131183,0.660441
0.59125,-2.5,0.140156,0.777899
0.64125,-2.5,0.149409,0.906366
0.69125,-2.5,0.158943,1.04596
0.74125,-2.5,0.168762,1.19679
0.79125,-2.5,0.178868,1.35898
0.84125,-2.5,0.189264,1.53266
0.89125,-2.5,0.199954,1.71794
0.94125,-2.5,0.21094,1.91496
0.99125,-2.5,0.222225,2.12384
1,-2.5,0.224221,2.16162
1,-2.5,0.224221,2.16162
1.01,-2.5,0.226524,2.20526
1.02,-2.5,0.22884,2.24937
1.035,-2.5,0.232337,2.31645
1.0575,-2.5,0.237634,2.41912
