Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
0,0,4.03e-14,4.95e-14
0.01,0,0.000552663,2.32e-05
0.02,0,0.00110615,9.26e-05
0.035,0,0.00193793,0.000283731
0.0575,0,0.00318908,0.000766088
0.09125,0,0.00507366,0.00193049
0.14125,0,0.00788302,0.0046298
0.19125,0,0.0107132,0.00849519
0.24125,0,0.0135642,0.0135298
0.29125,0,0.0164363,0.0197367
0.34125,0,0.0193293,0.0271191
0.39125,0,0.0222435,0.0356802
0.44125,0,0.0251789,0.0454232
0.49125,0,0.0281356,0.0563513
0.54125,0,0.0311137,0.0684677
0.59125,0,0.0341132,0.0817758
0.64125,0,0.0371342,0.0962788
0.69125,0,0.0401769,0.11198
0.74125,0,0.0432412,0.128883
0.79125,0,0.0463273,0.14699
0.84125,0,0.0494353,0.166306
0.89125,0,0.0525652,0.186834
0.94125,0,0.0557171,0.208577
0.99125,0,0.0588912,0.231538
1,0,0.0594487,0.235682
1,0,0.0594487,0.235682
1.01,0,0.060087,0.240463
1.02,0,0.0607261,0.245294
1.035,0,0.0616865,0.252632
1.0575,0,0.0631308,0.263845
1.09125,0,0.0653058,0.28113
1.14125,0,0.0685467,0.307768
1.19125,0,0.07181,0.335639
1.24125,0,0.0750958,0.364745
1.29125,0,0.0784043,0.395092
1.34125,0,0.0817354,0.426681
1.39125,0,0.0850893,0.459518
1.44125,0,0.088466,0.493605
1.49125,0,0.0918658,0.528946
1.54125,0,0.0952885,0.565546
1.59125,0,0.0987344,0.603407
1.64125,0,0.102203,0.642533
1.69125,0,0.105696,0.682929
1.74125,0,0.109212,0.724597
1.79125,0,0.112751,0.767543
1.84125,0,0.116314,0.811769
1.89125,0,0.1199,0.857279
1.94125,0,0.12351,0.904078
1.99125,0,0.127145,0.952169
2,0,0.127783,0.960718
2,0,0.127783,0.960718
2.01,0,0.128513,0.970537
2.02,0,0.129245,0.980408
2.035,0,0.130344,0.995312
2.0575,0,0.131996,1.01789
2.09125,0,0.134484,1.05224
2.14125,0,0.138191,1.10424
2.19125,0,0.141921,1.15754
2.24125,0,0.145675,1.21215
2.29125,0,0.149454,1.26808
2.34125,0,0.153258,1.32533
2.39125,0,0.157086,1.3839
2.44125,0,0.160939,1.4438
2.49125,0,0.164816,1.50504
2.54125,0,0.168718,1.56761
2.59125,0,0.172645,1.63153
2.64125,0,0.176598,1.69679
2.69125,0,0.180575,1.7634
2.74125,0,0.184578,1.83136
2.79125,0,0.188605,1.90068
2.84125,0,0.192659,1.97137
2.89125,0,0.196738,2.04342
2.94125,0,0.200842,2.11684
2.99125,0,0.204972,2.19164
3,0,0.205697,2.20487
3,0,0.205697,2.20487
3.01,0,0.206527,2.22005
3.02,0,0.207358,2.23528
3.035,0,0.208606,2.25822
3.0575,0,0.210484,2.29288
3.09125,0,0.213309,2.34539
3.14125,0,0.217518,2.42434
3.19125,0,0.221752,2.50469
3.24125,0,0.226012,2.58644
3.29125,0,0.230298,2.66959
3.34125,0,0.234611,2.75415
3.39125,0,0.23895,2.84012
3.44125,0,0.243316,2.92751
3.49125,0,0.247708,3.01633
3.54125,0,0.252127,3.10657
3.59125,0,0.256574,3.19824
3.64125,0,0.261048,3.29134
3.69125,0,0.265548,3.38589
3.74125,0,0.270076,3.48189
3.79125,0,0.274631,3.57933
3.84125,0,0.279213,3.67824
3.89125,0,0.283823,3.7786
3.94125,0,0.288461,3.88043
3.99125,0,0.293126,3.98373
4,0,0.293944,4.00196
4,0,0.293944,4.00196
4.01,0,0.294882,4.02285
4.02,0,0.29582,4.04379
4.035,0,0.29723,4.07533
4.0575,0,0.29935,4.12288
4.09125,0,0.30254,4.19477
4.14125,0,0.307289,4.30251
4.19125,0,0.312067,4.41175
4.24125,0,0.316872,4.52248
4.29125,0,0.321706,4.63472
4.34125,0,0.326569,4.74846
4.39125,0,0.33146,4.86372
4.44125,0,0.33638,4.98049
4.49125,0,0.341328,5.09879
4.54125,0,0.346306,5.21862
4.59125,0,0.351312,5.33998
4.64125,0,0.356348,5.46288
4.69125,0,0.361413,5.58733
4.74125,0,0.366508,5.71333
4.79125,0,0.371631,5.84088
4.84125,0,0.376785,5.97
4.89125,0,0.381968,6.10068
4.94125,0,0.387181,6.23294
4.99125,0,0.392425,6.36678
5,0,0.393344,6.39036
5,0,0.393344,6.39036
5.01,0,0.394397,6.41737
5.02,0,0.395452,6.44445
5.035,0,0.397036,6.48518
5.0575,0,0.399417,6.54655
5.09125,0,0.403,6.63921
5.14125,0,0.408335,6.77782
5.19125,0,0.413699,6.91803
5.24125,0,0.419094,7.05985
5.29125,0,0.424519,7.20329
5.34125,0,0.429975,7.34834
5.39125,0,0.435462,7.49503
5.44125,0,0.44098,7.64334
5.49125,0,0.446529,7.79329
5.54125,0,0.45211,7.94489
5.59125,0,0.457722,8.09814
5.64125,0,0.463365,8.25305
5.69125,0,0.46904,8.40962
5.74125,0,0.474747,8.56786
5.79125,0,0.480486,8.72777
5.80375,0,0.481925,8.76801
5.8225,0,0.484088,8.82857
5.82953,0,0.4849,8.85134
5.83217,0,0.485205,8.85989
5.83266,0,0.485262,8.86149
5.83303,0,0.485305,8.8627
5.8334,0,0.485348,8.8639
5.83368,0,0.48538,8.8648
5.83396,0,0.485412,8.8657
5.83438,0,0.48546,8.86706
5.835,0,0.485533,8.86909
5.83594,0,0.485641,8.87213
5.83594,4.81e-37,0.485644,8.8722
0,-2.5,0.0831794,0.105151
0.01,-2.5,0.083776,0.105171
0.02,-2.5,0.0843734,0.105236
0.035,-2.5,0.085271,0.105416
0.0575,-2.5,0.0866207,0.105874
0.09125,-2.5,0.0886528,0.106983
0.14125,-2.5,0.09168,0.109559
0.19125,-2.5,0.0947271,0.113251
0.24125,-2.5,0.0977942,0.118063
0.29125,-2.5,0.100881,0.123996
0.34125,-2.5,0.103989,0.131055
0.39125,-2.5,0.107116,0.139241
0.44125,-2.5,0.110264,0.148557
0.49125,-2.5,0.113433,0.159006
0.54125,-2.5,0.116622,0.170592
0.59125,-2.5,0.119831,0.183316
0.64125,-2.5,0.123061,0.197182
0.69125,-2.5,0.126312,0.212193
0.74125,-2.5,0.129583,0.228352
0.79125,-2.5,0.132876,0.245661
0.84125,-2.5,0.136189,0.264123
0.89125,-2.5,0.139524,0.283743
0.94125,-2.5,0.142879,0.304521
0.99125,-2.5,0.146256,0.326462
1,-2.5,0.146848,0.330422
1,-2.5,0.146848,0.330422
1.01,-2.5,0.147527,0.334991
1.02,-2.5,0.148206,0.339606
1.035,-2.5,0.149227,0.346617
1.0575,-2.5,0.150762,0.35733
1.09125,-2.5,0.153072,0.373844
1.14125,-2.5,0.156513,0.399292
1.19125,-2.5,0.159975,0.425914
1.24125,-2.5,0.163459,0.453713
1.29125,-2.5,0.166964,0.482694
1.34125,-2.5,0.170491,0.51286
1.39125,-2.5,0.17404,0.544213
1.44125,-2.5,0.177611,0.576756
1.49125,-2.5,0.181203,0.610494
1.54125,-2.5,0.184818,0.645428
1.59125,-2.5,0.188455,0.681563
1.64125,-2.5,0.192114,0.718902
1.69125,-2.5,0.195795,0.757448
1.74125,-2.5,0.199499,0.797204
1.79125,-2.5,0.203225,0.838174
1.84125,-2.5,0.206974,0.880361
1.89125,-2.5,0.210745,0.923769
1.94125,-2.5,0.214539,0.9684
1.99125,-2.5,0.218356,1.01426
2,-2.5,0.219026,1.02241
2,-2.5,0.219026,1.02241
2.01,-2.5,0.219793,1.03177
2.02,-2.5,0.220561,1.04119
2.035,-2.5,0.221714,1.0554
2.0575,-2.5,0.223448,1.07692
2.09125,-2.5,0.226058,1.10967
2.14125,-2.5,0.229944,1.15924
2.19125,-2.5,0.233853,1.21004
2.24125,-2.5,0.237785,1.26209
2.29125,-2.5,0.24174,1.31539
2.34125,-2.5,0.245719,1.36993
2.39125,-2.5,0.249721,1.42574
2.44125,-2.5,0.253747,1.4828
2.49125,-2.5,0.257796,1.54113
2.54125,-2.5,0.261869,1.60073
2.59125,-2.5,0.265966,1.66159
2.64125,-2.5,0.270087,1.72373
2.69125,-2.5,0.274232,1.78715
2.74125,-2.5,0.278401,1.85185
2.79125,-2.5,0.282594,1.91784
2.84125,-2.5,0.286812,1.98511
2.89125,-2.5,0.291053,2.05368
2.94125,-2.5,0.295319,2.12354
2.99125,-2.5,0.29961,2.19471
3,-2.5,0.300363,2.2073
3,-2.5,0.300363,2.2073
3.01,-2.5,0.301225,2.22173
3.02,-2.5,0.302088,2.23622
3.035,-2.5,0.303384,2.25805
3.0575,-2.5,0.305333,2.29102
3.06594,-2.5,0.306065,2.30345
3.06805,-2.5,0.306248,2.30656
3.06963,-2.5,0.306385,2.3089
3.06963,-2.5,0.306386,2.30891
0,-5,0.161731,0.413094
0.01,-5,0.16237,0.413108
0.02,-5,0.163009,0.413164
0.035,-5,0.16397,0.413329
0.0575,-5,0.165415,0.413755
0.09125,-5,0.167589,0.4148
0.14125,-5,0.170826,0.417241
0.19125,-5,0.174082,0.420751
0.24125,-5,0.177357,0.425333
0.29125,-5,0.180651,0.430989
0.34125,-5,0.183965,0.437721
0.39125,-5,0.187298,0.445532
0.44125,-5,0.19065,0.454425
0.49125,-5,0.194022,0.464401
0.54125,-5,0.197414,0.475463
0.59125,-5,0.200825,0.487614
0.64125,-5,0.204256,0.500856
0.69125,-5,0.207707,0.515192
0.74125,-5,0.211177,0.530625
0.79125,-5,0.214668,0.547156
0.84125,-5,0.218178,0.564788
0.89125,-5,0.221709,0.583524
0.94125,-5,0.22526,0.603367
0.99125,-5,0.228831,0.62432
1,-5,0.229458,0.6281
1,-5,0.229458,0.6281
1.01,-5,0.230175,0.632463
1.02,-5,0.230893,0.63687
1.035,-5,0.231972,0.643565
1.0575,-5,0.233594,0.653794
1.09125,-5,0.236034,0.669562
1.14125,-5,0.239666,0.693858
1.19125,-5,0.243319,0.719274
1.24125,-5,0.246993,0.745813
1.29125,-5,0.250687,0.773477
1.34125,-5,0.254402,0.802269
1.39125,-5,0.258137,0.832192
1.44125,-5,0.261894,0.863249
1.49125,-5,0.265672,0.895442
1.54125,-5,0.26947,0.928775
1.59125,-5,0.27329,0.96325
1.64125,-5,0.277131,0.99887
1.69125,-5,0.280993,1.03564
1.74125,-5,0.284877,1.07356
1.79125,-5,0.288782,1.11263
1.84125,-5,0.292709,1.15286
1.89125,-5,0.296657,1.19425
1.94125,-5,0.300627,1.2368
1.99125,-5,0.304618,1.28052
2,-5,0.305319,1.28829
2,-5,0.305319,1.28829
2.01,-5,0.30612,1.29722
2.02,-5,0.306923,1.30619
2.035,-5,0.308128,1.31973
2.0575,-5,0.30994,1.34025
2.09125,-5,0.312667,1.37147
2.14125,-5,0.316725,1.4187
2.19125,-5,0.320804,1.46711
2.24125,-5,0.324906,1.51671
2.29125,-5,0.32903,1.56748
2.34125,-5,0.333176,1.61945
2.39125,-5,0.337344,1.67261
2.44125,-5,0.341535,1.72696
2.49125,-5,0.345749,1.7825
2.54125,-5,0.349985,1.83925
2.59125,-5,0.354244,1.8972
2.64125,-5,0.358525,1.95636
2.69125,-5,0.36283,2.01672
2.74125,-5,0.367158,2.0783
2.75375,-5,0.368242,2.09389
2.75844,-5,0.36865,2.09975
2.76547,-5,0.369261,2.10857
2.77602,-5,0.370179,2.12184
2.77602,-5,0.370185,2.12192
0,-7.5,0.23632,0.913723
0.01,-7.5,0.237,0.913728
0.02,-7.5,0.23768,0.913774
0.035,-7.5,0.238702,0.913919
0.0575,-7.5,0.240238,0.914309
0.09125,-7.5,0.242549,0.915283
0.14125,-7.5,0.245988,0.917581
0.19125,-7.5,0.249446,0.920903
0.24125,-7.5,0.252921,0.925252
0.29125,-7.5,0.256415,0.930629
0.34125,-7.5,0.259927,0.937036
0.39125,-7.5,0.263458,0.944476
0.44125,-7.5,0.267007,0.952951
0.49125,-7.5,0.270575,0.962462
0.54125,-7.5,0.274161,0.973013
0.59125,-7.5,0.277767,0.984604
0.64125,-7.5,0.281391,0.997238
0.69125,-7.5,0.285034,1.01092
0.74125,-7.5,0.288696,1.02564
0.79125,-7.5,0.292378,1.04142
0.84125,-7.5,0.296078,1.05825
0.89125,-7.5,0.299797,1.07613
0.94125,-7.5,0.303536,1.09507
0.99125,-7.5,0.307294,1.11507
1,-7.5,0.307953,1.11868
1,-7.5,0.307953,1.11868
1.01,-7.5,0.308708,1.12284
1.02,-7.5,0.309463,1.12705
1.035,-7.5,0.310598,1.13344
1.0575,-7.5,0.312303,1.1432
1.09125,-7.5,0.314868,1.15825
1.14125,-7.5,0.318685,1.18144
1.19125,-7.5,0.322521,1.20569
1.24125,-7.5,0.326377,1.23102
1.29125,-7.5,0.330252,1.25742
1.34125,-7.5,0.334147,1.28489
1.39125,-7.5,0.338062,1.31344
1.44125,-7.5,0.341998,1.34307
1.49125,-7.5,0.345953,1.37378
1.54125,-7.5,0.349928,1.40558
1.59125,-7.5,0.353923,1.43846
1.64125,-7.5,0.357939,1.47243
1.69125,-7.5,0.361974,1.5075
1.74125,-7.5,0.366031,1.54366
1.79125,-7.5,0.370107,1.58092
1.84125,-7.5,0.374204,1.61927
1.89125,-7.5,0.378322,1.65873
1.94125,-7.5,0.38246,1.6993
1.99125,-7.5,0.38662,1.74097
2,-7.5,0.387349,1.74838
2,-7.5,0.387349,1.74838
2.01,-7.5,0.388184,1.75688
2.02,-7.5,0.38902,1.76543
2.035,-7.5,0.390275,1.77834
2.0575,-7.5,0.392162,1.7979
2.09125,-7.5,0.395,1.82765
2.14125,-7.5,0.399222,1.87266
2.19125,-7.5,0.403465,1.91878
2.24125,-7.5,0.407729,1.96603
2.29125,-7.5,0.412014,2.0144
2.34125,-7.5,0.41632,2.0639
2.39125,-7.5,0.420647,2.11453
2.44125,-7.5,0.424996,2.16629
2.49125,-7.5,0.429367,2.21918
2.50375,-7.5,0.430462,2.23258
2.50375,-7.5,0.430475,2.23274
0,-10,0.307561,1.59839
0.01,-10,0.308281,1.59839
0.02,-10,0.309001,1.59842
0.035,-10,0.310082,1.59854
0.0575,-10,0.311706,1.59889
0.09125,-10,0.314149,1.59979
0.14125,-10,0.317783,1.60194
0.19125,-10,0.321434,1.60507
0.24125,-10,0.325102,1.60919
0.29125,-10,0.328788,1.61429
0.34125,-10,0.332491,1.62037
0.39125,-10,0.336213,1.62745
0.44125,-10,0.339952,1.63552
0.49125,-10,0.343708,1.64457
0.54125,-10,0.347483,1.65463
0.59125,-10,0.351275,1.66567
0.64125,-10,0.355086,1.67772
0.69125,-10,0.358914,1.69076
0.74125,-10,0.362761,1.70481
0.79125,-10,0.366625,1.71986
0.84125,-10,0.370508,1.73591
0.89125,-10,0.374409,1.75297
0.94125,-10,0.378329,1.77104
0.99125,-10,0.382267,1.79012
1,-10,0.382957,1.79356
1,-10,0.382957,1.79356
1.01,-10,0.383748,1.79754
1.02,-10,0.384539,1.80155
1.035,-10,0.385727,1.80765
1.0575,-10,0.387512,1.81696
1.09125,-10,0.390198,1.83132
1.14125,-10,0.394191,1.85344
1.19125,-10,0.398204,1.87659
1.24125,-10,0.402235,1.90075
1.29125,-10,0.406284,1.92593
1.34125,-10,0.410353,1.95214
1.39125,-10,0.41444,1.97938
1.44125,-10,0.418547,2.00764
1.49125,-10,0.422672,2.03694
1.54125,-10,0.426817,2.06727
1.59125,-10,0.430981,2.09863
1.64125,-10,0.435164,2.13103
1.69125,-10,0.439366,2.16447
1.74125,-10,0.443588,2.19895
1.79125,-10,0.447829,2.23448
1.84125,-10,0.45209,2.27105
1.89125,-10,0.45637,2.30867
1.94125,-10,0.46067,2.34733
1.99125,-10,0.46499,2.38705
2,-10,0.465747,2.39411
2,-10,0.465747,2.39411
2.01,-10,0.466614,2.40222
2.02,-10,0.467482,2.41037
2.035,-10,0.468785,2.42267
2.0575,-10,0.470743,2.44131
2.09125,-10,0.473688,2.46966
2.14125,-10,0.478068,2.51255
2.19125,-10,0.482467,2.5565
2.24125,-10,0.486887,2.60152
2.25375,-10,0.487994,2.61294
2.2725,-10,0.489658,2.6302
2.2725,-10,0.489668,2.6303
0,-12.5,0.376023,2.45982
0.01,-12.5,0.376781,2.4598
0.02,-12.5,0.377538,2.45982
0.035,-12.5,0.378676,2.45992
0.0575,-12.5,0.380385,2.46023
0.09125,-12.5,0.382955,2.46104
0.14125,-12.5,0.386777,2.46304
0.19125,-12.5,0.390615,2.46598
0.24125,-12.5,0.394469,2.46987
0.29125,-12.5,0.398341,2.47469
0.34125,-12.5,0.402229,2.48047
0.39125,-12.5,0.406133,2.48719
0.44125,-12.5,0.410055,2.49486
0.49125,-12.5,0.413994,2.50347
0.54125,-12.5,0.417949,2.51304
0.59125,-12.5,0.421922,2.52357
0.64125,-12.5,0.425911,2.53504
0.69125,-12.5,0.429918,2.54748
0.74125,-12.5,0.433942,2.56087
0.79125,-12.5,0.437984,2.57521
0.84125,-12.5,0.442042,2.59052
0.89125,-12.5,0.446118,2.6068
0.94125,-12.5,0.450212,2.62403
0.99125,-12.5,0.454323,2.64223
1,-12.5,0.455043,2.64552
1,-12.5,0.455043,2.64552
1.01,-12.5,0.455868,2.64931
1.02,-12.5,0.456694,2.65314
1.035,-12.5,0.457933,2.65895
1.0575,-12.5,0.459796,2.66784
1.09125,-12.5,0.462597,2.68154
1.14125,-12.5,0.466761,2.70264
1.19125,-12.5,0.470943,2.72472
1.24125,-12.5,0.475142,2.74777
1.29125,-12.5,0.47936,2.7718
1.34125,-12.5,0.483595,2.79681
1.39125,-12.5,0.487848,2.82279
1.44125,-12.5,0.492119,2.84975
1.49125,-12.5,0.496409,2.8777
1.54125,-12.5,0.500716,2.90663
1.59125,-12.5,0.505042,2.93654
1.64125,-12.5,0.509386,2.96744
1.69125,-12.5,0.513748,2.99934
1.74125,-12.5,0.518129,3.03222
1.79125,-12.5,0.522528,3.06609
1.84125,-12.5,0.526946,3.10096
1.89125,-12.5,0.531382,3.13683
1.94125,-12.5,0.535837,3.1737
1.99125,-12.5,0.540311,3.21156
2,-12.5,0.541095,3.21829
2,-12.5,0.541095,3.21829
2.01,-12.5,0.541993,3.22602
2.02,-12.5,0.542891,3.23379
2.035,-12.5,0.54424,3.24552
2.0575,-12.5,0.546267,3.26328
2.0575,-12.5,0.546291,3.26349
0,-15,0.442232,3.492
0.01,-15,0.443027,3.49197
0.02,-15,0.44382,3.49197
0.035,-15,0.445013,3.49204
0.0575,-15,0.446804,3.49231
0.09125,-15,0.449497,3.49305
0.14125,-15,0.4535,3.49489
0.19125,-15,0.457518,3.49764
0.24125,-15,0.461552,3.5013
0.29125,-15,0.465602,3.50586
0.34125,-15,0.469668,3.51133
0.39125,-15,0.473749,3.5177
0.44125,-15,0.477847,3.52499
0.49125,-15,0.481961,3.53318
0.54125,-15,0.486091,3.54229
0.59125,-15,0.490237,3.5523
0.64125,-15,0.494399,3.56323
0.69125,-15,0.498578,3.57508
0.74125,-15,0.502773,3.58784
0.79125,-15,0.506984,3.60152
0.84125,-15,0.511212,3.61612
0.89125,-15,0.515456,3.63164
0.94125,-15,0.519717,3.64808
0.99125,-15,0.523995,3.66544
1,-15,0.524744,3.66857
1,-15,0.524744,3.66857
1.01,-15,0.525603,3.67219
1.02,-15,0.526461,3.67584
1.035,-15,0.527751,3.68139
1.0575,-15,0.529688,3.68987
1.09125,-15,0.5326,3.70294
1.14125,-15,0.536928,3.72307
1.19125,-15,0.541272,3.74414
1.24125,-15,0.545634,3.76613
1.29125,-15,0.550012,3.78906
1.34125,-15,0.554408,3.81292
1.39125,-15,0.55882,3.83771
1.44125,-15,0.56325,3.86343
1.49125,-15,0.567697,3.8901
1.54125,-15,0.572161,3.9177
1.59125,-15,0.576642,3.94624
1.64125,-15,0.581141,3.97572
1.69125,-15,0.585657,4.00614
1.74125,-15,0.59019,4.0375
1.79125,-15,0.594741,4.06982
1.84125,-15,0.59931,4.10307
1.89125,-15,0.603896,4.13728
1.89125,-15,0.603913,4.13742
0,-17.5,0.506682,4.69013
0.01,-17.5,0.507511,4.69008
0.02,-17.5,0.50834,4.69007
0.035,-17.5,0.509586,4.69012
