Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
0,0,1.66e-14,8e-14
0.01,0,0.000141526,0.000212187
0.02,0,0.000298685,0.000847718
0.035,0,0.000563612,0.00259144
0.0575,0,0.00102634,0.00697545
0.09125,0,0.00186629,0.0174973
0.14125,0,0.00342871,0.0416836
0.19125,0,0.0053649,0.0759847
0.24125,0,0.00766888,0.120239
0.29125,0,0.0103351,0.174293
0.34125,0,0.0133582,0.238003
0.39125,0,0.016733,0.31123
0.44125,0,0.0204543,0.393845
0.49125,0,0.0245175,0.485724
0.54125,0,0.0289178,0.58675
0.59125,0,0.0336508,0.696812
0.64125,0,0.0387122,0.815804
0.69125,0,0.044098,0.943627
0.74125,0,0.049804,1.08018
0.79125,0,0.0558266,1.22539
0.84125,0,0.062162,1.37915
0.89125,0,0.0688066,1.54139
0.94125,0,0.0757571,1.71203
0.99125,0,0.0830101,1.891
1,0,0.0843048,1.92314
1,0,0.0843048,1.92314
1.01,0,0.0858013,1.96022
1.02,0,0.0873106,1.99762
1.035,0,0.0895966,2.05435
1.0575,0,0.093076,2.14083
1.09125,0,0.0984075,2.27365
1.14125,0,0.106552,2.47722
1.19125,0,0.114985,2.68886
1.24125,0,0.123705,2.90852
1.29125,0,0.13271,3.13615
1.34125,0,0.141998,3.37169
1.39125,0,0.151565,3.61512
1.44125,0,0.16141,3.86638
1.49125,0,0.171531,4.12543
1.54125,0,0.181924,4.39224
1.59125,0,0.192588,4.66677
1.64125,0,0.203521,4.94899
1.69125,0,0.214721,5.23887
1.74125,0,0.226186,5.53639
1.79125,0,0.237913,5.84152
1.84125,0,0.249903,6.15424
1.89125,0,0.262151,6.47452
1.94125,0,0.274658,6.80236
1.99125,0,0.287421,7.13773
2,0,0.289671,7.19708
2,0,0.289671,7.19708
2.01,0,0.292263,7.26532
2.02,0,0.294865,7.33386
2.035,0,0.298788,7.43725
2.0575,0,0.304716,7.5936
2.09125,0,0.313704,7.83097
2.14125,0,0.327231,8.18893
2.19125,0,0.341006,8.55433
2.24125,0,0.355029,8.92721
2.29125,0,0.3693,9.30758
2.34125,0,0.383817,9.69544
2.39125,0,0.398581,10.0908
2.44125,0,0.413589,10.4936
2.49125,0,0.42884,10.9039
2.54125,0,0.444335,11.3217
2.59125,0,0.46007,11.747
2.64125,0,0.476047,12.1798
2.69125,0,0.492264,12.6202
