Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
0,0,-4.00E-15,7.41e-14
0.01,0,0.000700401,0.000157628
0.02,0,0.00140895,0.000630863
0.035,0,0.00248708,0.00193364
0.0575,0,0.0041388,0.00522541
0.09125,0,0.00669427,0.0131848
0.14125,0,0.0106528,0.0316814
0.19125,0,0.0148185,0.0582446
0.24125,0,0.0191925,0.0929433
0.29125,0,0.0237764,0.135847
0.34125,0,0.0285715,0.187027
0.39125,0,0.0335791,0.246555
0.44125,0,0.0388006,0.314504
0.49125,0,0.0442374,0.390947
0.54125,0,0.0498909,0.47596
0.59125,0,0.0557626,0.569617
0.64125,0,0.0618538,0.671998
0.69125,0,0.0681661,0.783178
0.74125,0,0.0747008,0.903238
0.79125,0,0.0814594,1.03226
0.84125,0,0.0884435,1.17032
0.89125,0,0.0956545,1.31751
0.94125,0,0.103094,1.4739
0.99125,0,0.110763,1.63959
1,0,0.112125,1.66954
1,0,0.112125,1.66954
1.01,0,0.113695,1.70413
1.02,0,0.115274,1.7391
1.035,0,0.11766,1.79225
1.0575,0,0.121279,1.87358
1.09125,0,0.126796,1.99919
1.14125,0,0.135166,2.19328
1.19125,0,0.143772,2.39702
1.24125,0,0.152615,2.61049
1.29125,0,0.161697,2.8338
1.34125,0,0.17102,3.06703
1.39125,0,0.180587,3.31029
1.44125,0,0.190397,3.56366
1.49125,0,0.200454,3.82725
1.54125,0,0.210759,4.10115
1.59125,0,0.221313,4.38548
1.64125,0,0.232119,4.68033
1.69125,0,0.243177,4.98581
1.74125,0,0.254491,5.30202
1.79125,0,0.266061,5.62908
1.84125,0,0.27789,5.96709
1.89125,0,0.289979,6.31616
1.94125,0,0.302331,6.67641
1.99125,0,0.314946,7.04796
2,0,0.317172,7.11414
2,0,0.317172,7.11414
2.01,0,0.319736,7.19021
2.02,0,0.322311,7.26675
2.035,0,0.326193,7.38241
2.0575,0,0.332063,7.55785
2.09125,0,0.340971,7.8254
2.14125,0,0.354395,8.23155
2.19125,0,0.368088,8.64946
2.24125,0,0.382053,9.07928
2.29125,0,0.396293,9.52112
2.34125,0,0.410812,9.97511
2.39125,0,0.425611,10.4414
2.44125,0,0.440691,10.9201
2.49125,0,0.456056,11.4114
2.54125,0,0.471707,11.9153
2.59125,0,0.487647,12.4321
2.64125,0,0.503877,12.9619
2.69125,0,0.5204,13.5048
2.74125,0,0.537217,14.061
2.79125,0,0.554333,14.6306
2.84125,0,0.571747,15.2138
2.89125,0,0.589464,15.8107
2.94125,0,0.607485,16.4215
2.99125,0,0.625812,17.0464
3,0,0.629034,17.1571
3,0,0.629034,17.1571
3.01,0,0.632745,17.2843
3.02,0,0.636475,17.4121
3.035,0,0.642082,17.6048
3.0575,0,0.650557,17.8962
3.09125,0,0.663385,18.3389
3.14125,0,0.682655,19.007
3.19125,0,0.702236,19.6897
3.24125,0,0.722133,20.3874
3.29125,0,0.742351,21.1002
3.34125,0,0.762893,21.8282
3.39125,0,0.783762,22.5717
3.44125,0,0.80496,23.3309
3.49125,0,0.82649,24.1059
3.54125,0,0.848355,24.897
3.59125,0,0.870557,25.7043
3.64125,0,0.893099,26.5281
3.69125,0,0.915984,27.3685
3.74125,0,0.939215,28.2258
3.79125,0,0.962795,29.1003
3.84125,0,0.986726,29.992
3.89125,0,1.01101,30.9013
3.94125,0,1.03566,31.8284
3.99125,0,1.06066,32.7735
4,0,1.06504,32.9407
4,0,1.06504,32.9407
4.01,0,1.07009,33.1325
4.02,0,1.07518,33.3251
4.035,0,1.0828,33.6154
4.0575,0,1.09433,34.0539
4.09125,0,1.11174,34.7188
4.14125,0,1.13786,35.7195
4.19125,0,1.16434,36.7392
4.24125,0,1.1912,37.7782
4.29125,0,1.21843,38.8368
4.34125,0,1.24605,39.9152
4.39125,0,1.27406,41.0137
4.44125,0,1.30245,42.1326
4.49125,0,1.33124,43.2722
4.54125,0,1.36042,44.4328
4.59125,0,1.39001,45.6148
4.64125,0,1.42,46.8183
4.69125,0,1.45039,48.0438
4.74125,0,1.4812,49.2916
4.79125,0,1.51243,50.562
4.84125,0,1.54407,51.8554
4.89125,0,1.57614,53.1721
4.94125,0,1.60863,54.5124
4.99125,0,1.64156,55.8768
5,0,1.64731,56.1178
5,0,1.64731,56.1178
5.01,0,1.65394,56.3944
5.02,0,1.66066,56.6722
5.035,0,1.67065,57.0905
5.0575,0,1.68582,57.7222
5.09125,0,1.70868,58.6792
5.14125,0,1.74295,60.1182
5.19125,0,1.77765,61.5827
5.24125,0,1.81279,63.0733
5.29125,0,1.84839,64.5903
5.34125,0,1.88445,66.1342
5.39125,0,1.92097,67.7056
5.44125,0,1.95797,69.3047
5.49125,0,1.99544,70.9322
5.54125,0,2.03338,72.5885
5.59125,0,2.07182,74.274
5.64125,0,2.11074,75.9895
5.69125,0,2.15015,77.7352
5.74125,0,2.19006,79.5119
5.79125,0,2.23048,81.32
5.84125,0,2.2714,83.1602
5.89125,0,2.31284,85.033
5.94125,0,2.35479,86.9391
5.99125,0,2.39727,88.879
6,0,2.40468,89.2214
6,0,2.40468,89.2214
6.01,0,2.41329,89.6148
6.02,0,2.42185,90.0094
6.035,0,2.43481,90.6042
6.0575,0,2.4543,91.5022
6.09125,0,2.48378,92.8628
0,-2.5,0.302638,0.384682
0.01,-2.5,0.303486,0.384821
0.02,-2.5,0.304342,0.385256
0.035,-2.5,0.30564,0.386464
0.0575,-2.5,0.307622,0.389527
0.09125,-2.5,0.310671,0.39695
0.14125,-2.5,0.315357,0.414221
